,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,Arraial do Cabo,-22.9661,-42.0278,71.6,94,75,4.61,BR,1612740714
83,Lüderitz,-26.6481,15.1594,67.93,55,0,27.65,NA,1612740671
84,Pevek,69.7008,170.3133,-5.39,83,0,2.19,RU,1612740717
85,Vaini,-21.2,-175.2,77.0,100,90,10.36,TO,1612740718
86,Marsá Maţrūḩ,31.3525,27.2453,51.8,87,0,9.22,EG,1612740719
87,La Ronge,55.1001,-105.2842,-27.4,56,66,6.91,CA,1612740612
88,Tulsa,36.1001,-95.9003,28.4,93,90,6.91,US,1612740421
89,Kapaa,22.0752,-159.319,75.99,56,1,5.75,US,1612740639
90,Grand Gaube,-20.0064,57.6608,75.99,87,33,12.48,MU,1612740723
91,Kruisfontein,-34.0033,24.7314,64.99,92,84,1.01,ZA,1612740724
92,Camaçari,-12.6975,-38.3242,82.4,78,40,17.27,BR,1612740726
93,Ust-Maya,60.4167,134.5333,-29.43,83,99,2.01,RU,1612740727
94,Saint Paul Harbor,57.79,-152.4072,35.6,55,1,3.44,US,1612740637
95,Sakakah,29.9697,40.2064,48.2,81,0,3.36,SA,1612740729
96,Nikolskoye,59.7035,30.7861,15.8,86,90,11.18,RU,1612740730
97,Calbuco,-41.768,-73.1273,73.4,56,0,9.22,CL,1612740731
98,Tommot,58.9564,126.2925,-24.68,79,0,2.06,RU,1612740699
99,Barrow,71.2906,-156.7887,-25.6,68,1,9.22,US,1612740643
100,Yeniseysk,58.4497,92.1703,15.76,95,54,7.02,RU,1612740735
101,Sørland,67.667,12.6934,34.18,86,78,8.93,NO,1612740736
102,Belyy Yar,53.6039,91.3903,14.0,92,97,2.24,RU,1612740737
103,Port Alfred,-33.5906,26.891,66.0,95,94,3.0,ZA,1612740654
104,Horki,54.2861,30.9842,-3.69,93,7,3.33,BY,1612740739
105,Camaná,-16.6228,-72.7111,72.79,78,92,4.52,PE,1612740740
106,Longyearbyen,78.2186,15.6401,14.0,44,20,23.02,SJ,1612740741
107,Puerto del Rosario,28.5004,-13.8627,59.0,77,40,6.91,ES,1612740742
108,Rørvik,64.8621,11.2373,23.56,94,0,9.86,NO,1612740744
109,Ancud,-41.8697,-73.8203,63.55,73,0,1.43,CL,1612740745
110,Souillac,-20.5167,57.5167,78.8,83,40,5.75,MU,1612740631
111,Whitianga,-36.8333,175.7,73.0,66,41,4.0,NZ,1612740747
112,Port Hardy,50.6996,-127.4199,39.2,70,75,10.36,CA,1612740673
113,Vila Franca do Campo,37.7167,-25.4333,57.0,76,40,8.05,PT,1612740749
114,Yangambi,0.8102,24.4336,66.99,49,98,1.23,CD,1612740750
115,Esperance,-33.8667,121.9,68.0,73,90,16.11,AU,1612740751
116,Seymchan,62.8833,152.4333,-10.7,83,100,20.78,RU,1612740634
117,Butaritari,3.0707,172.7902,81.05,80,90,19.35,KI,1612740754
118,West Wendover,40.7391,-114.0733,57.2,7,1,28.77,US,1612740755
119,Lal'sk,60.7415,47.5862,-22.36,84,100,8.19,RU,1612740756
120,Campos Belos,-13.0367,-46.7717,66.7,98,100,1.61,BR,1612740757
121,High Level,58.5169,-117.136,-14.8,64,40,2.33,CA,1612740758
122,Tasiilaq,65.6145,-37.6368,26.6,46,0,9.22,GL,1612740759
123,Ürümqi,43.801,87.6005,12.2,85,100,2.24,CN,1612740706
124,Havøysund,70.9963,24.6622,24.8,80,90,17.27,NO,1612740761
125,Kundiawa,-6.0167,144.9667,71.04,67,99,1.28,PG,1612740763
126,Usinsk,65.9939,57.5281,-16.04,88,100,17.02,RU,1612740764
127,Varberg,57.1056,12.2508,18.0,90,51,8.01,SE,1612740765
128,Teknāf,20.8624,92.3058,63.7,55,0,10.25,BD,1612740766
129,Mersing,2.4312,103.8405,78.8,89,78,8.05,MY,1612740767
130,Ostër,50.9506,30.8823,10.99,100,100,9.1,UA,1612740768
131,Bentiu,9.2333,29.8333,65.12,26,22,5.68,SS,1612740769
132,Nabire,-3.3667,135.4833,84.9,64,76,0.2,ID,1612740771
133,Ekibastuz,51.6667,75.3667,18.73,97,98,16.78,KZ,1612740772
134,George Town,5.4112,100.3354,80.6,83,20,2.3,MY,1612740773
135,Port Moresby,-9.4431,147.1797,78.8,89,75,11.5,PG,1612740774
136,Dalbandin,28.8947,64.4101,52.66,35,0,3.13,PK,1612740775
137,San Patricio,28.017,-97.5169,71.6,46,1,13.8,US,1612740776
138,Puerto Madero,14.7208,-92.4215,87.8,55,1,8.05,MX,1612740777
139,Simpang,-1.2667,104.0833,77.47,88,100,3.56,ID,1612740779
140,Praia da Vitória,38.7333,-27.0667,57.2,77,40,12.33,PT,1612740780
141,Nanortalik,60.1432,-45.2371,30.6,87,90,16.64,GL,1612740663
142,Norman Wells,65.282,-126.8329,-23.8,76,40,3.44,CA,1612740657
143,Dalvik,65.9702,-18.5286,32.0,74,90,5.75,IS,1612740783
144,Fortuna,40.5982,-124.1573,55.0,81,1,11.5,US,1612740784
145,Muroto-misakicho,33.2833,134.15,41.0,81,20,9.22,JP,1612740785
146,Tombouctou,20.0,-3.0,62.31,27,80,10.8,ML,1612740786
147,La Asuncion,11.0333,-63.8628,76.51,86,33,17.34,VE,1612740787
148,Pathanāmthitta,9.2667,76.7833,67.84,62,11,3.04,IN,1612740789
149,Havelock,34.8791,-76.9013,44.6,76,1,12.66,US,1612740790
150,Markala,13.7021,-6.0659,74.01,20,99,15.03,ML,1612740791
151,Mar del Plata,-38.0023,-57.5575,61.0,94,90,14.97,AR,1612740792
152,Margate,51.3813,1.3862,30.99,78,100,11.01,GB,1612740784
153,Mayumba,-3.432,10.6554,78.55,85,100,4.52,GA,1612740794
154,Mossamedes,-15.1961,12.1522,72.32,78,85,5.1,AO,1612740795
155,Charters Towers,-20.1,146.2667,83.08,70,100,10.13,AU,1612740506
156,Seminole,28.7086,-81.2081,69.8,68,75,11.5,US,1612740798
157,Tabuk,17.4189,121.4443,73.42,85,46,0.69,PH,1612740799
158,Kumul,42.8,93.45,27.99,80,49,1.52,CN,1612740800
159,Rio Grande,-32.035,-52.0986,71.01,73,0,10.18,BR,1612740801
160,Mahébourg,-20.4081,57.7,78.8,83,40,5.75,MU,1612740802
161,Bukama,-9.2,25.85,70.14,95,100,1.45,CD,1612740803
162,Rzhev,56.2624,34.3282,0.64,93,78,5.75,RU,1612740805
163,Lázaro Cárdenas,17.9583,-102.2,78.62,67,0,5.73,MX,1612740806
164,Morondava,-20.2833,44.2833,79.25,83,99,8.21,MG,1612740807
165,Novikovo,51.1537,37.8879,4.06,92,37,7.07,RU,1612740808
166,Minoh,34.8269,135.4706,43.0,81,75,9.22,JP,1612740809
167,Comodoro Rivadavia,-45.8667,-67.5,62.6,59,0,19.57,AR,1612740810
168,Zhangjiakou,40.81,114.8794,16.48,79,0,4.18,CN,1612740541
169,Mollendo,-17.0231,-72.0147,72.45,78,99,2.86,PE,1612740649
170,Sortavala,61.7053,30.6918,3.06,92,48,4.7,RU,1612740814
171,Lima,-12.0432,-77.0282,73.4,73,75,14.97,PE,1612740768
172,Faanui,-16.4833,-151.75,81.36,76,1,13.29,PF,1612740816
173,Calama,-22.4667,-68.9333,71.6,35,0,28.77,CL,1612740817
174,Hithadhoo,-0.6,73.0833,81.61,71,37,6.67,MV,1612740818
175,Lieksa,63.3167,30.0167,2.62,92,22,2.3,FI,1612740819
176,Novobiryusinskiy,56.9578,97.7076,23.61,96,65,6.64,RU,1612740785
177,Bangassou,4.7413,22.8184,64.27,29,73,2.98,CF,1612740822
178,Bowen,-20.0167,148.2333,84.2,79,75,1.14,AU,1612740823
179,Chicama,-7.8447,-79.1469,75.31,62,83,7.14,PE,1612740824
180,Venice,27.0998,-82.4543,64.99,82,75,9.22,US,1612740715
181,Kathu,7.9178,98.3332,75.2,94,20,14.05,TH,1612740826
182,Ribeira Grande,38.5167,-28.7,58.64,76,73,13.33,PT,1612740827
183,Jalu,29.0331,21.5482,67.28,25,99,18.54,LY,1612740685
184,Novobirilyussy,56.9514,90.6661,18.18,95,70,8.97,RU,1612740830
185,Alberton,46.8168,-64.0654,26.6,54,100,8.05,CA,1612740831
186,Harper,4.375,-7.7169,79.3,89,81,5.91,LR,1612740789
187,Kalabo,-14.97,22.6814,69.4,93,100,4.85,ZM,1612740833
188,Carnarvon,-24.8667,113.6333,77.0,100,7,8.05,AU,1612740675
189,Yumen,40.2833,97.2,26.49,75,62,8.1,CN,1612740835
190,Kirakira,-10.4544,161.9205,85.19,69,14,8.32,SB,1612740836
191,Golden,39.7555,-105.2211,53.01,11,40,34.52,US,1612740738
192,Qaqortoq,60.7167,-46.0333,37.4,30,20,40.29,GL,1612740674
193,Lorengau,-2.0226,147.2712,83.88,76,100,5.3,PG,1612740633
194,Province of Mantua,45.1667,10.7833,48.99,96,75,7.09,IT,1612740841
195,Middelburg,-25.7751,29.4648,59.4,89,70,4.12,ZA,1612740842
196,Sioux Lookout,50.1001,-91.917,-14.8,53,1,12.66,CA,1612740549
197,Chapais,49.7834,-74.8492,12.2,85,90,6.91,CA,1612740759
198,Killybegs,54.6333,-8.45,34.0,81,71,5.01,IE,1612740845
199,Saint George,37.1041,-113.5841,66.0,16,1,3.44,US,1612740653
200,Bogorodskoye,56.55,37.8833,-10.32,90,20,5.57,RU,1612740848
201,East Hampton,37.0374,-76.3316,39.99,100,40,5.75,US,1612740849
202,Pimentel,-6.8367,-79.9342,77.0,65,0,20.71,PE,1612740810
203,Madera,37.1666,-119.8343,64.0,52,0,3.0,US,1612740851
204,Tautira,-17.7333,-149.15,87.8,58,20,6.91,PF,1612740852
205,Brigg,53.552,-0.4921,35.6,75,75,23.02,GB,1612740853
206,Hermanus,-34.4187,19.2345,59.0,86,4,1.59,ZA,1612740638
207,Abhā,18.2164,42.5053,55.4,47,0,10.36,SA,1612740855
208,Qaanaaq,77.484,-69.3632,14.83,85,76,6.4,GL,1612740635
209,Luga,58.7372,29.8453,8.04,96,83,5.12,RU,1612740858
210,Baruun-Urt,46.6806,113.2792,-3.96,88,62,9.69,MN,1612740703
211,San Nicolas,18.1725,120.5953,73.4,94,75,2.3,PH,1612740860
212,Cidreira,-30.1811,-50.2056,70.83,71,0,8.03,BR,1612740861
213,Galle,6.0367,80.217,75.4,89,17,4.92,LK,1612740862
214,Kyra,49.5776,111.9753,0.68,86,92,2.84,RU,1612740863
215,Mujiayingzi,42.1167,118.7833,3.6,86,0,7.29,CN,1612740864
216,Xushan,30.1764,121.2457,48.99,81,90,11.18,CN,1612740866
217,Salò,45.6086,10.531,46.99,100,75,3.44,IT,1612740867
218,Pahrump,36.2083,-115.9839,66.99,14,0,4.0,US,1612740868
219,Banda Aceh,5.5577,95.3222,77.94,81,32,8.28,ID,1612740676
220,King City,36.2127,-121.126,68.0,50,30,17.0,US,1612740779
221,Port Macquarie,-31.4333,152.9167,78.01,66,99,3.0,AU,1612740739
222,Boa Vista,2.8197,-60.6733,82.4,69,40,5.75,BR,1612740704
223,Bahía Honda,22.9036,-83.1592,76.71,78,12,7.16,CU,1612740873
224,Payao,10.1833,122.95,76.62,87,100,5.68,PH,1612740875
225,Indramayu,-6.3264,108.32,79.27,85,92,11.07,ID,1612740876
226,Puerto Ayacucho,5.6639,-67.6236,81.07,76,99,3.65,VE,1612740877
227,North Bend,43.4065,-124.2243,50.0,62,20,9.22,US,1612740861
228,Bulawayo,-20.15,28.5833,62.94,93,100,10.85,ZW,1612740735
229,Lucea,18.451,-78.1736,80.6,74,20,10.36,JM,1612740880
230,Vrangel',42.7297,133.0839,6.37,85,2,17.74,RU,1612740881
231,Farafangana,-22.8167,47.8333,78.31,88,98,10.31,MG,1612740882
232,Dumai,1.6833,101.45,74.66,89,97,2.77,ID,1612740884
233,Bubaque,11.2833,-15.8333,78.26,69,19,7.14,GW,1612740885
234,Passos,-20.7189,-46.6097,66.33,92,38,3.62,BR,1612740886
235,Guiyang,26.5833,106.7167,46.4,93,90,2.24,CN,1612740887
236,Valley City,46.9233,-98.0032,-9.4,77,90,6.91,US,1612740888
237,Rundu,-17.9333,19.7667,67.95,92,100,7.0,NA,1612740889
238,Half Moon Bay,37.4636,-122.4286,68.0,76,1,13.8,US,1612740890
239,Mount Gambier,-37.8333,140.7667,59.0,67,90,13.8,AU,1612740863
240,Yulara,-25.2406,130.9889,82.4,24,17,16.11,AU,1612740294
241,Namatanai,-3.6667,152.4333,85.19,68,96,4.9,PG,1612740701
242,High Rock,26.6208,-78.2833,75.2,94,75,8.05,BS,1612740895
243,Burnie,-41.0667,145.9167,66.0,85,84,5.01,AU,1612740896
244,Itupiranga,-5.1347,-49.3267,74.86,94,81,3.36,BR,1612740897
245,Bathsheba,13.2167,-59.5167,78.8,65,40,17.27,BB,1612740883
246,Tonneins,44.3921,0.3124,44.01,100,0,2.3,FR,1612740899
247,Muriwai Beach,-36.8167,174.45,75.99,64,25,8.01,NZ,1612740847
248,Vanavara,60.34,102.2797,26.35,97,100,12.03,RU,1612740902
249,São Filipe,14.8961,-24.4956,68.88,75,100,14.07,CV,1612740862
250,Kroonstad,-27.6504,27.2349,62.01,90,0,5.73,ZA,1612740705
251,Vila do Maio,15.1333,-23.2167,68.0,68,40,21.85,CV,1612740906
252,Kampong Cham,11.9934,105.4635,74.32,85,51,1.92,KH,1612740907
253,Henties Bay,-22.116,14.2845,64.99,88,82,7.0,NA,1612740799
254,Codrington,-38.2667,141.9667,59.79,66,100,13.18,AU,1612740882
255,Härnösand,62.6323,17.9379,17.6,93,20,9.22,SE,1612740910
256,Havre-St-Pierre,50.2334,-63.5986,19.4,79,1,11.5,CA,1612740912
257,Wau,7.7029,27.9953,62.42,28,95,5.26,SS,1612740905
258,Merauke,-8.4667,140.3333,83.53,77,100,9.08,ID,1612740880
259,Ciudad Guayana,8.3533,-62.6528,81.0,75,99,1.99,VE,1612740895
260,Ushtobe,45.2514,77.9838,32.81,92,100,5.95,KZ,1612740916
261,Saint-Pierre,-21.3393,55.4781,82.4,57,90,9.22,RE,1612740898
262,Kaitangata,-46.2817,169.8464,64.99,85,99,8.01,NZ,1612740661
263,Kambove,-10.8764,26.5969,63.43,99,100,3.83,CD,1612740919
264,Puri,19.8,85.85,65.95,81,85,8.28,IN,1612740920
265,Bambanglipuro,-7.95,110.2833,77.61,86,89,6.71,ID,1612740906
266,Lillooet,50.6856,-121.942,32.0,86,90,11.5,CA,1612740923
267,Makushino,55.2103,67.2442,5.11,95,81,8.72,RU,1612740924
268,Concepción del Oro,24.6333,-101.4167,70.02,21,80,9.89,MX,1612740925
269,Okhotsk,59.3833,143.3,14.85,89,100,22.84,RU,1612740926
270,Hamilton,39.1834,-84.5333,19.99,49,75,1.01,US,1612740792
271,Tual,-5.6667,132.75,83.82,78,100,17.4,ID,1612740928
272,Bac Lieu,9.285,105.7244,75.97,83,18,15.46,VN,1612740703
273,Aksarka,66.5606,67.7975,-16.17,88,100,28.79,RU,1612740931
274,Plettenberg Bay,-34.0527,23.3716,64.29,81,89,8.21,ZA,1612740932
275,Isangel,-19.55,169.2667,84.2,74,40,6.91,VU,1612740879
276,Alyangula,-13.8483,136.4192,82.4,78,75,10.36,AU,1612740881
277,Umluj,25.0213,37.2685,70.48,35,0,20.38,SA,1612740935
278,São João da Barra,-21.6403,-41.0511,71.42,95,100,7.38,BR,1612740936
279,Görele,41.0308,39.0031,50.0,87,75,6.91,TR,1612740937
280,Akdepe,42.0551,59.3788,46.4,87,0,6.91,TM,1612740846
281,Provideniya,64.3833,-173.3,-0.54,83,74,17.72,RU,1612740865
282,Holme,56.1138,10.1725,28.4,69,75,17.27,DK,1612740941
283,Iquique,-20.2208,-70.1431,73.4,56,0,19.57,CL,1612740942
284,Calvinia,-31.4707,19.776,59.38,56,0,3.65,ZA,1612740943
285,Raudeberg,61.9875,5.1352,23.0,58,0,7.74,NO,1612740944
286,Tezu,27.9167,96.1667,57.43,37,15,3.56,IN,1612740945
287,Volchikha,52.0333,80.3833,12.97,94,30,6.17,RU,1612740946
288,Shimoda,34.6667,138.95,51.8,54,20,19.57,JP,1612740909
289,Alofi,-19.0595,-169.9187,86.0,70,63,10.36,NU,1612740895
290,Zabaykal'sk,49.6333,117.3167,-9.71,84,2,2.46,RU,1612740950
291,Takoradze,4.8845,-1.7554,79.81,86,61,8.93,GH,1612740884
292,Nouakchott,18.0858,-15.9785,64.4,29,0,8.05,MR,1612740952
293,Chipata,-13.6333,32.65,65.79,96,100,3.33,ZM,1612740953
294,Solenzo,12.1833,-4.0833,76.44,21,11,8.5,BF,1612740954
295,Luanda,-8.8368,13.2343,78.8,83,75,5.75,AO,1612740900
296,Gaziantep,37.0594,37.3825,41.0,93,33,3.44,TR,1612740957
297,Demba,-5.51,22.2667,69.46,88,100,0.98,CD,1612740958
298,Katghora,22.5,82.55,50.38,48,10,5.82,IN,1612740959
299,Fuyang,32.9,115.8167,39.72,71,100,12.55,CN,1612740960
300,Zhangye,38.9342,100.4517,25.63,72,53,2.71,CN,1612740961
301,Lata,40.1629,-8.3327,55.0,93,100,3.0,PT,1612740790
302,San Andrés,12.5847,-81.7006,82.4,74,40,9.22,CO,1612740843
303,Carauari,-4.8828,-66.8958,76.64,93,87,1.59,BR,1612740964
304,Vostok,46.4856,135.8833,-10.43,90,100,4.25,RU,1612740882
305,Dingle,10.9995,122.6711,76.53,91,100,10.98,PH,1612740863
306,May Pen,17.9645,-77.2451,82.4,61,20,21.85,JM,1612740968
307,Krasnosel'kup,65.7,82.4667,19.17,98,100,7.67,RU,1612740969
308,Katsuura,35.1333,140.3,45.0,44,35,1.99,JP,1612740883
309,Nelson Bay,-32.7167,152.15,75.0,64,40,17.27,AU,1612740971
310,Dengzhou,37.8086,120.7508,30.04,84,0,8.03,CN,1612740972
311,Belomorsk,64.5232,34.7668,3.15,94,80,6.29,RU,1612740973
312,Olafsvik,64.8945,-23.7142,35.2,81,39,16.22,IS,1612740974
313,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.0,93,90,2.24,RU,1612740976
314,Fethiye,36.6217,29.1164,57.2,94,75,4.61,TR,1612740846
315,Conceição da Barra,-18.5933,-39.7322,74.25,94,99,5.39,BR,1612740978
316,Bongandanga,1.5,21.05,70.56,51,94,2.93,CD,1612740979
317,Cabo San Lucas,22.8909,-109.9124,73.0,53,20,5.75,MX,1612740594
318,Vitim,59.4511,112.5578,15.3,95,100,9.53,RU,1612740816
319,Karratha,-20.7377,116.8463,79.95,67,10,11.56,AU,1612740696
320,Turukhansk,65.8167,87.9833,11.61,96,99,18.77,RU,1612740983
321,Los Llanos de Aridane,28.6585,-17.9182,60.8,77,0,4.61,ES,1612740680
322,Baghmara,23.795,86.2085,56.88,58,0,6.2,IN,1612740986
323,Mpika,-11.8343,31.4529,63.59,98,100,7.7,ZM,1612740987
324,Aklavik,68.2191,-135.0107,-22.0,76,100,10.36,CA,1612740656
325,Nanma,36.1817,118.1583,28.0,67,1,0.96,CN,1612740989
326,Ceres,37.5949,-120.9577,64.99,48,1,3.44,US,1612740990
327,Paamiut,61.994,-49.6678,26.83,84,61,11.81,GL,1612740904
328,Grand Falls,47.0461,-67.7418,21.2,63,90,5.75,CA,1612740993
329,Lengshuitan,26.4111,111.5956,53.96,80,100,9.69,CN,1612740994
330,Coquimbo,-29.9533,-71.3436,64.4,68,0,11.5,CL,1612740598
331,Flinders,-34.5833,150.8552,72.0,71,69,4.0,AU,1612740894
332,Baykit,61.67,96.37,26.64,94,99,8.84,RU,1612740860
333,Sarkand,45.41,79.9186,35.46,76,100,4.52,KZ,1612740998
334,Nome,64.5011,-165.4064,0.0,84,1,2.89,US,1612740678
335,Hambantota,6.1241,81.1185,75.2,100,0,6.91,LK,1612740799
336,Necochea,-38.5473,-58.7368,59.0,73,96,8.01,AR,1612740903
337,Yamada,39.4667,141.95,27.32,82,0,9.84,JP,1612741003
338,Gizo Government Station,-8.103,156.8419,84.85,73,76,7.87,SB,1612740865
339,San Vicente,-26.6167,-54.1333,66.76,72,17,3.06,AR,1612740867
340,Ruangwa,-10.0667,38.9333,72.77,97,94,3.13,TZ,1612741006
341,Keti Bandar,24.1447,67.4497,66.18,47,0,8.84,PK,1612740905
342,Aitape,-3.1374,142.3475,83.62,70,87,2.62,PG,1612741008
343,San Juan de los Morros,9.9115,-67.3538,77.29,60,39,2.8,VE,1612741009
344,Beloha,-25.1667,45.05,73.85,97,10,3.96,MG,1612740754
345,Erzin,36.9559,36.2,57.2,72,40,11.5,TR,1612741012
346,Paita,-5.0892,-81.1144,75.92,75,29,15.7,PE,1612740681
347,Bogale,16.2833,95.4,72.61,58,75,7.74,MM,1612741014
348,Warri,5.5167,5.75,80.58,85,96,3.06,NG,1612741015
349,Avilés,43.5547,-5.9248,51.8,82,90,4.61,ES,1612741016
350,Sainte-Maxime,43.3,6.6333,46.4,61,0,18.41,FR,1612741017
351,Eyrarbakki,63.863,-21.1481,35.6,51,0,11.5,IS,1612741018
352,Touros,-5.1989,-35.4608,80.6,83,20,12.66,BR,1612740793
353,Sharan,54.8167,54.0,-5.49,90,100,16.78,RU,1612741021
354,Marabu,4.4148,114.0089,77.0,100,40,2.3,MY,1612740912
355,Ariquemes,-9.9133,-63.0408,75.78,96,93,2.08,BR,1612741023
356,Izumo,35.3667,132.7667,39.2,93,75,17.27,JP,1612741024
357,Worland,44.0169,-107.9554,1.4,78,90,4.61,US,1612741025
